machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,machine1
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,43954000000,1.46E+11,48920000000,4.31E+11,1448000000,1734000000,102000000,74000000,6987658,95304030000,69996410000,37771,2240844,7392000000,0.7162085,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,43964000000,1.46E+11,48924000000,4.31E+11,1494000000,1732000000,80000000,72000000,6993352,95305060000,69973656000,37771,2240843,7534000000,0.7360833,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,49292000000,1.64E+11,54858000000,4.84E+11,1666000000,1944000000,80000000,88000000,7837567,1.07E+11,78551810000,37771,2249202,9088000000,0.7831273,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,49312000000,1.64E+11,54870000000,4.84E+11,1664000000,1944000000,78000000,72000000,7837189,1.07E+11,78542750000,37771,2249202,8332000000,0.67896295,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,55010000000,1.83E+11,61218000000,5.39E+11,1722000000,2170000000,90000000,82000000,8728818,1.19E+11,87395860000,37771,2258117,9440000000,0.6222,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,54990000000,1.83E+11,61214000000,5.39E+11,1754000000,2168000000,128000000,96000000,8727180,1.19E+11,87556120000,37771,2258118,9302000000,0.73333335,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,72274000000,2.41E+11,80442000000,7.09E+11,2392000000,2850000000,116000000,102000000,11482814,1.57E+11,1.15E+11,37771,2285302,12154000000,0.4830672,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,72260000000,2.41E+11,80436000000,7.09E+11,2384000000,2848000000,132000000,130000000,11483660,1.57E+11,1.15E+11,37771,2285304,12330000000,0.4833,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,83436000000,2.78E+11,92846000000,8.18E+11,2710000000,3292000000,182000000,146000000,13257360,1.81E+11,1.33E+11,37771,2302598,14140000000,0.42445827,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,83376000000,2.78E+11,92822000000,8.18E+11,2714000000,3290000000,128000000,116000000,13252974,1.81E+11,1.33E+11,37771,2302599,14426000000,0.4225471,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,93430000000,3.11E+11,1.04E+11,9.17E+11,3024000000,3688000000,134000000,138000000,14852424,2.03E+11,1.49E+11,37771,2318277,15916000000,0.38710177,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,93462000000,3.11E+11,1.04E+11,9.17E+11,3026000000,3686000000,140000000,134000000,14852316,2.03E+11,1.49E+11,37771,2318278,16520000000,0.39866668,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,18722000000,77512000000,27208000000,2.21E+11,688000000,712000000,50000000,30000000,30887940,77792290000,37168080000,37771,2189549,5748000000,1.3863357,corona
