machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.7,0.2,12768000000.0,30204000000.0,9678000000.0,93332000000.0,244000000.0,182000000.0,0.0,0.0,5072992.0,17766335112.0,9277978430.0,105104.0,2259804.0,398000000.0,10.638194,,,,1.361806
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.7 -pa,0.2,12762000000.0,30204000000.0,9676000000.0,93324000000.0,246000000.0,182000000.0,0.0,0.0,5073890.0,17768327110.0,9283089966.0,105105.0,2259803.0,396000000.0,10.742926,,,,1.257074
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.8,0.2,12974000000.0,30708000000.0,9842000000.0,94896000000.0,250000000.0,186000000.0,0.0,0.0,5158364.0,18066185776.0,9432301138.0,105104.0,2260719.0,402000000.0,11.463034,,,,0.536966
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.8 -pa,0.2166,12974000000.0,30714000000.0,9842000000.0,94902000000.0,250000000.0,182000000.0,0.0,0.0,5157176.0,18069338810.0,9436618156.0,105103.0,2260715.0,404000000.0,10.423718,,,,2.572282
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.9,0.2333,13186000000.0,31218000000.0,10004000000.0,96460000000.0,254000000.0,186000000.0,0.0,0.0,5242662.0,18367547115.0,9592878687.0,105104.0,2261633.0,414000000.0,10.97409,,,,3.02391
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.9 -pa,0.2166,13188000000.0,31222000000.0,10004000000.0,96456000000.0,254000000.0,188000000.0,0.0,0.0,5242545.0,18367268150.0,9591879994.0,105104.0,2261634.0,410000000.0,11.308077,,,,1.687923
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5,0.2166,13410000000.0,31734000000.0,10168000000.0,98050000000.0,244000000.0,190000000.0,0.0,0.0,5328932.0,18665444081.0,9738774415.0,105104.0,2262546.0,418000000.0,10.939343,,,,2.056657
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5,0.6666,37203750000.0,58672107143.0,20165607143.0,158094000000.0,115357142.9,42392857.14,15535714.29,11285714.29,25920.51786,343334180.2,10466525804.0,108957.75,2109855.036,2197750000.0,14.34103895,,,,25.65496105
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5 -pa,0.2166,13408000000.0,31734000000.0,10168000000.0,98044000000.0,246000000.0,190000000.0,0.0,0.0,5329061.0,18670365360.0,9735260383.0,105104.0,2262546.0,422000000.0,11.467666,,,,1.528334
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5 -pa,0.7,37436678571.0,59003071429.0,20283071429.0,159040000000.0,115500000.0,42750000.0,15535714.29,11285714.29,26261.91071,343367348.1,10396733215.0,108901.75,2109854.036,2242321429.0,14.45501484,,,,27.54498516
