machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 0 --procs 4,4,2",0.0666,156625000.0,465125000.0,162125000.0,1288437500.0,62500.0,7687500.0,0.0,0.0,1170.28125,181358749.8,142204448.4,105876.7188,2107279.188,80875000.0,0.245535875,,,,3.750464125
ruby,kripke.exe,--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 1,0.1333,30714285.71,169464285.7,37750000.0,378750000.0,3660714.286,2321428.571,160714.2857,89285.71429,2.928571429,78378952.18,40741297.85,938.7142857,19688.71429,5142857.143,0.050392911,,,,7.947607089
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 1 --procs 4,4,2",0.0666,217000000.0,747375000.0,225000000.0,1960625000.0,2000000.0,7750000.0,0.0,0.0,1128.0,267960520.7,136988224.3,105844.6875,2107278.188,68562500.0,0.290444625,,,,3.705555375
ruby,kripke.exe,--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 2,0.1666,56928571.43,292821428.6,63678571.43,669928571.4,4678571.429,2339285.714,178571.4286,107142.8571,4.883928571,123735978.0,40690142.66,938.7321429,19688.72321,5696428.571,0.074526223,,,,9.921473777
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 2 --procs 4,4,2",0.0833,315625000.0,1198437500.0,324375000.0,3035687500.0,3562500.0,7812500.0,0.0,0.0,1168.125,435778619.2,139212234.0,102510.6563,2107143.625,56062500.0,0.36323975,,,,4.63476025
ruby,kripke.exe,--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 3,0.25,93857142.86,465732142.9,100035714.3,1078017857.0,5875000.0,2375000.0,196428.5714,107142.8571,6.651785714,187145684.2,40809266.86,938.7142857,19688.71429,6196428.571,0.108218,,,,14.891782
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 3 --procs 4,4,2",0.0833,449125000.0,1825437500.0,460812500.0,4523000000.0,4375000.0,7625000.0,0.0,0.0,1166.90625,657545192.7,139773661.6,102539.75,2107144.531,48437500.0,0.490358313,,,,4.507641688
ruby,kripke.exe,--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 4,0.3333,141142857.1,687857142.9,146732142.9,1602285714.0,7107142.857,2375000.0,232142.8571,107142.8571,6.178571429,268655535.1,40710046.86,938.7232143,19688.72321,6946428.571,0.150279295,,,,19.84772071
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 4 --procs 4,4,2",0.0833,622000000.0,2633687500.0,637125000.0,6440750000.0,6000000.0,8000000.0,0.0,0.0,1191.6875,943343444.0,150895413.7,105812.6875,2107277.188,47875000.0,0.671484281,,,,4.326515719
ruby,kripke.exe,--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 0,0.0333,3196428.571,21428571.43,5250000.0,45732142.86,839285.7143,589285.7143,17857.14286,17857.14286,3.410714286,12407284.79,10216640.2,938.7321429,19688.72321,1035714.286,0.008616187,,,,1.989383813
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 0 --procs 4,4,2",0.0666,59562500.0,134562500.0,52062500.0,397187500.0,0.0,1937500.0,0.0,0.0,1179.375,45028289.72,36374233.84,105876.6875,2107279.188,5500000.0,0.0650665,,,,3.9309335
ruby,kripke.exe,--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 1,0.0333,5250000.0,32357142.86,8178571.429,72678571.43,910714.2857,589285.7143,17857.14286,17857.14286,10.78571429,17888597.16,10260410.02,938.7232143,19688.72321,1107142.857,0.011155286,,,,1.986844714
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 1 --procs 4,4,2",0.0833,73750000.0,182125000.0,66875000.0,522687500.0,0.0,2000000.0,0.0,0.0,1197.75,64544632.63,36507138.19,105877.6563,2107279.219,6250000.0,0.074303312,,,,4.923696688
ruby,kripke.exe,--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 2,0.05,8517857.143,50392857.14,13035714.29,117107142.9,1035714.286,589285.7143,17857.14286,17857.14286,3.955357143,27070715.35,10198407.6,938.7142857,19688.71429,1178571.429,0.013591277,,,,2.986408723
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 2 --procs 4,4,2",0.0666,80875000.0,243625000.0,82937500.0,669500000.0,0.0,2000000.0,0.0,0.0,1205.84375,96861835.0,35634214.38,102540.7188,2107144.563,6312500.0,0.087385906,,,,3.908614094
ruby,kripke.exe,--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 3,0.05,13160714.29,75714285.71,19857142.86,179500000.0,1232142.857,589285.7143,17857.14286,17857.14286,3.116071429,39882382.94,10315654.86,938.7142857,19688.71429,1410714.286,0.019901384,,,,2.980098616
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 3 --procs 4,4,2",0.0666,99375000.0,338812500.0,109687500.0,906437500.0,0.0,2000000.0,0.0,0.0,1165.75,141698759.3,36132773.97,105843.6875,2107278.156,6875000.0,0.114758562,,,,3.881241438
ruby,kripke.exe,--niter 15 --pmethod bj --groups 8 --arch sequential --legendre 4,0.0833,19125000.0,108232142.9,28607142.86,259660714.3,1571428.571,589285.7143,17857.14286,17857.14286,11.16071429,56339020.04,10339276.97,938.7232143,19688.73214,1482142.857,0.026370902,,,,4.971629098
