machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,32,44988062500,70075937500,25534875000,1.95266E+11,234125000,154000000,41812500,28500000,0,1291325.563,3768891748,13343359077,69843.875,2107070.625,2776187500,0.8833
quartz,laghos,1,33672000000,1.39286E+11,48864000000,3.9651E+11,1202000000,1278000000,66000000,42000000,0,52841105,1.39772E+11,66583516862,37771,2203455,10208000000,1.3166
quartz,laghos,32,51387375000,80156375000,29244250000,2.23336E+11,273562500,179750000,49562500,33000000,0,1485828.875,4386654372,15606138978,69875.875,2107208.938,3280937500,1
quartz,laghos,1,33638000000,1.39258E+11,48848000000,3.96472E+11,1228000000,1276000000,66000000,40000000,0,52842274,1.39772E+11,66520384369,37771,2203455,10120000000,1.3166
quartz,laghos,32,51008250000,79576562500,29062937500,2.21793E+11,273312500,178875000,48875000,33062500,0,1485954.656,4386556263,15534772133,69874.90625,2107208.906,3264750000,0.9833
quartz,laghos,1,37626000000,1.55758E+11,54636000000,4.43244E+11,1354000000,1430000000,78000000,50000000,0,57829759,1.56265E+11,74223078074,37771,2207296,11358000000,1.4666
quartz,laghos,32,57890812500,90233125000,32917687500,2.51473E+11,306125000,200000000,56625000,37437500,0,1620399.188,4905395665,17300132842,69875.875,2107328.969,3676250000,1.1166
quartz,laghos,1,37640000000,1.55764E+11,54640000000,4.4326E+11,1342000000,1432000000,76000000,44000000,0,57828703,1.5627E+11,74232723108,37771,2207296,11480000000,1.4666
quartz,laghos,32,58499750000,91176562500,33213562500,2.53972E+11,304437500,199562500,55750000,37625000,0,1620358.25,4905068440,17247315524,69874.90625,2107328.938,3630687500,1.1166
quartz,laghos,1,40972000000,1.69684E+11,59530000000,4.82758E+11,1510000000,1566000000,76000000,46000000,0,61894902,1.7022E+11,80802717875,37771,2210591,12370000000,1.5833
quartz,laghos,32,63058125000,98347625000,35844250000,2.73944E+11,333062500,217812500,61750000,40875000,0,1730346.188,5342602630,19157815461,69874.90625,2107431.938,3956750000,1.2166
quartz,laghos,1,40924000000,1.69658E+11,59510000000,4.82716E+11,1508000000,1562000000,112000000,66000000,0,61886440,1.70217E+11,80808344848,37771,2210591,12452000000,1.6
quartz,laghos,32,62311000000,97208375000,35480500000,2.70889E+11,332062500,216750000,59875000,40500000,0,1730407.969,5341817276,18811330537,69842.90625,2107430.938,4012562500,1.1833
quartz,laghos,1,3.22884E+11,1.58915E+12,5.5838E+11,4.43164E+12,23698000000,15880000000,2086000000,2114000000,0,605937214,1.65516E+12,7.69303E+11,37771,2215571,1.28942E+11,13.1666
quartz,laghos,32,1.06151E+11,1.92763E+11,70531500000,5.43546E+11,1022250000,976125000,153437500,103375000,0,17797829.78,51838730790,52121133230,69875.875,2107587.531,9979062500,2.3
quartz,laghos,1,3.22948E+11,1.5892E+12,5.5841E+11,4.4317E+12,23714000000,15854000000,2036000000,2060000000,0,605288880,1.65516E+12,7.69247E+11,37771,2215571,1.29406E+11,13.2333
quartz,laghos,32,1.08814E+11,1.9666E+11,71836000000,5.54337E+11,1020625000,976000000,154500000,105062500,0,17797556.38,51838361647,52485683634,69842.90625,2107586.5,9976250000,2.3666
quartz,laghos,1,4.30974E+11,2.12323E+12,7.4564E+11,5.91682E+12,31732000000,21260000000,3176000000,2858000000,0,779943430,2.21057E+12,1.02254E+12,37771,2230207,1.73332E+11,19.2833
quartz,laghos,32,1.38448E+11,2.5267E+11,92604125000,7.12536E+11,1365812500,1308187500,207250000,139250000,0,22872635.41,69233669462,69600591368,69874.90625,2108044.844,13385312500,3.0333
quartz,laghos,1,4.31278E+11,2.12347E+12,7.45776E+11,5.91718E+12,31810000000,21198000000,2672000000,2824000000,0,780217789,2.21057E+12,1.02268E+12,37771,2230207,1.70688E+11,19.2166
quartz,laghos,32,1.46067E+11,2.63911E+11,96328562500,7.43497E+11,1371937500,1307687500,213000000,142000000,0,22872580.47,69234217648,69807776212,69875.875,2108044.875,13250687500,3.1666
