machine,app,ranks,duration,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,REALTIME (sec)
quartz,laghos,32,26.3833,8.31E+11,2.28E+12,8.23E+11,6.46E+12,19608937500,16804750000,2665687500,2153125000,513717136.1,1.59E+12,9.00E+11,69875.875,2111193.594,1.47E+11,1244.844311
quartz,laghos,32,29.2166,9.20E+11,2.53E+12,9.13E+11,7.16E+12,21585562500,18520750000,2959500000,2362062500,546448573.2,1.75E+12,9.95E+11,69875.875,2111736.781,1.63E+11,1378.965191
quartz,laghos,32,28.9166,9.09E+11,2.51E+12,9.04E+11,7.09E+12,21623000000,18524312500,2942562500,2378500000,544893346.7,1.75E+12,9.87E+11,69875.875,2111736.781,1.64E+11,1379.512475
quartz,laghos,32,31.0666,9.78E+11,2.69E+12,9.71E+11,7.62E+12,23172312500,19858875000,3153250000,2538812500,574710377.2,1.87E+12,1.06E+12,69875.875,2112113,1.76E+11,1479.283964
quartz,laghos,32,31.4666,9.94E+11,2.72E+12,9.82E+11,7.70E+12,23181375000,19859875000,3155125000,2527312500,576125236.8,1.88E+12,1.07E+12,69843.875,2112112,1.75E+11,1476.478431
quartz,laghos,32,34.35,1.08E+12,2.98E+12,1.08E+12,8.43E+12,25611062500,21939375000,3450687500,2825312500,624290321.8,2.08E+12,1.18E+12,69874.90625,2112773.063,1.95E+11,1639.528917
quartz,laghos,32,34.85,1.11E+12,3.01E+12,1.09E+12,8.52E+12,25618062500,21950500000,3473187500,2817687500,624289930.1,2.08E+12,1.18E+12,69843.875,2112766.375,1.94E+11,1635.001315
quartz,laghos,32,47.5666,1.51E+12,4.13E+12,1.49E+12,1.17E+13,35462625000,30419312500,4819500000,3916250000,821297390.7,2.87E+12,1.63E+12,69875.875,2115255.031,2.70E+11,2285.397739
quartz,laghos,32,47.4333,1.51E+12,4.12E+12,1.49E+12,1.16E+13,35273312500,30238187500,4792625000,3848562500,820997930,2.87E+12,1.63E+12,69875.875,2115213.094,2.69E+11,2273.762424
quartz,laghos,1,0.05,1756000000,2510000000,734000000,8498000000,18000000,8000000,0,0,1118229,1118039287,809434728,37771,2188654,98000000,1.327392
quartz,laghos,1,0.05,1754000000,2512000000,736000000,8502000000,24000000,8000000,0,0,1117884,1116848268,806487653,37771,2188656,100000000,1.301731
